date,total_value
2009-05-14 16:00:00,102057.0
2009-05-14 16:00:00,102057.0
2009-05-14 16:00:00,102057.0
2009-05-14 16:00:00,102057.0
2009-05-14 16:00:00,102057.0
2009-05-14 16:00:00,102057.0
2009-05-14 16:00:00,102057.0
2009-05-14 16:00:00,102057.0
2009-05-14 16:00:00,102057.0
2009-05-15 16:00:00,102193.0
2009-05-15 16:00:00,102193.0
2009-05-15 16:00:00,102193.0
2009-05-15 16:00:00,102193.0
2009-05-15 16:00:00,102193.0
2009-05-18 16:00:00,102193.0
2009-05-19 16:00:00,102193.0
2009-05-20 16:00:00,102193.0
2009-05-21 16:00:00,102193.0
2009-05-22 16:00:00,102193.0
2009-05-26 16:00:00,102193.0
2009-05-27 16:00:00,102193.0
2009-05-28 16:00:00,102193.0
2009-05-29 16:00:00,102193.0
2009-05-29 16:00:00,102193.0
2009-05-29 16:00:00,102193.0
2009-05-29 16:00:00,102193.0
2009-06-01 16:00:00,102462.0
2009-06-02 16:00:00,102474.0
2009-06-03 16:00:00,102217.0
2009-06-04 16:00:00,102270.0
2009-06-05 16:00:00,102235.0
2009-06-05 16:00:00,102235.0
2009-06-05 16:00:00,102235.0
2009-06-05 16:00:00,102235.0
2009-06-08 16:00:00,102147.0
2009-06-09 16:00:00,102136.0
2009-06-10 16:00:00,102100.0
2009-06-11 16:00:00,102235.0
2009-06-12 16:00:00,102235.0
2009-06-15 16:00:00,102235.0
2009-06-16 16:00:00,102235.0
2009-06-17 16:00:00,102235.0
2009-06-18 16:00:00,102235.0
2009-06-19 16:00:00,102235.0
2009-06-22 16:00:00,102235.0
2009-06-23 16:00:00,102235.0
2009-06-24 16:00:00,102235.0
2009-06-25 16:00:00,102235.0
2009-06-26 16:00:00,102235.0
2009-06-29 16:00:00,102235.0
2009-06-30 16:00:00,102235.0
2009-07-01 16:00:00,102235.0
2009-07-02 16:00:00,102235.0
2009-07-06 16:00:00,102235.0
2009-07-07 16:00:00,102235.0
2009-07-08 16:00:00,102235.0
2009-07-09 16:00:00,102235.0
2009-07-10 16:00:00,102235.0
2009-07-13 16:00:00,102235.0
2009-07-14 16:00:00,102235.0
2009-07-15 16:00:00,102235.0
2009-07-16 16:00:00,102235.0
2009-07-17 16:00:00,102235.0
2009-07-20 16:00:00,102235.0
2009-07-21 16:00:00,102231.0
2009-07-21 16:00:00,102231.0
2009-07-21 16:00:00,102231.0
2009-07-22 16:00:00,102375.0
2009-07-22 16:00:00,102375.0
2009-07-23 16:00:00,102463.0
2009-07-23 16:00:00,102463.0
2009-07-23 16:00:00,102463.0
2009-07-24 16:00:00,102459.0
2009-07-24 16:00:00,102459.0
2009-07-27 16:00:00,102672.0
